,city_from,city_to,weight
172,Санкт-Петербург,Барнаул,0.2
173,Новая Адыгея,Ростов-на-Дону,0.1
174,Москва,Воронеж,0.05
175,Севастополь,Магнитогорск,0.3
176,Москва,Пенза,5.0
177,Шатура,Янино-1,5.0
178,Волгоград,Ростов-на-Дону,2.0
179,Белгород,Губкин,1.5
180,Саратов,Брянск,1.0
181,Пятигорск,Нерюнгри,1.5
182,Москва,Махачкала,1.0
183,Тула,Москва,1.75
184,Москва,Балашиха,0.4
185,Гулькевичи,Куровское,1.2
186,Самара,Ялуторовск,1.0
187,Москва,Пятигорск,0.8
188,Санкт-Петербург,Самара,0.5
189,Армавир,Краснодар,1.85
190,Санкт-Петербург,Калуга ,0.5
191,Сочи,Тюмень,6.5
192,Мытищи,Москва,3.0
193,Астрахань,Москва,0.1
194,Махачкала,Краснодар,2.2
195,Саратов,Омск,1.0
196,Новая Адыгея,Урюпинск,0.1
197,Липецк,Барнаул,2.5
198,Челябинск,Иркутск,0.6
199,Москва,Краснознаменск,1.431
200,Санкт-Петербург,Москва,0.1
201,Белгород,Екатеринбург,0.4
202,Москва,Бугуруслан,1.0
203,Белгород,Москва,1.0
204,Новоалександровск,Щелково,2.5
205,Нахабино,Новосибирск,1.5
206,Набережные Челны,Подольск,1.0
207,Калуга ,Раменское,0.1
208,Пятигорск,Коммунарка,2.94
209,Мытищи,Королев,3.0
210,Саратов,Волгоград,1.0
211,Приморско-Ахтарск,Новосибирск,2.5
212,Бутово,Сочи,1.44
213,Санкт-Петербург,Ростов-на-Дону,0.1
214,Коммунарка,Санкт-Петербург,0.1
215,Москва,Сибай,0.5
216,Приморско-Ахтарск,Санкт-Петербург,0.8
217,Казань,Петрозаводск,1.0
218,Москва,Мурманск,0.5
219,Мытищи,Москва,3.0
220,Екатеринбург,Курган,0.8
221,Набережные Челны,Темрюк,1.0
222,Санкт-Петербург,Санкт-Петербург,0.1
223,Санкт-Петербург,Москва,0.3
224,Калуга ,Казань,0.1
225,Москва,Москва,2.085
226,Пятигорск,Краснодар,1.5
227,Москва,Казань,5.0
228,Муром,Казань,0.1
229,Москва,Стерлитамак,0.795
230,Набережные Челны,Волгоград,1.0
231,Серпухов,Москва,0.5
232,Тольятти,Феодосия,1.0
233,Сертолово,Санкт-Петербург,0.3
234,Санкт-Петербург,Москва,0.1
235,Санкт-Петербург,Санкт-Петербург,0.6
236,Белгород,Старый Оскол,1.5
237,Москва,Коммунарка,0.5
238,Москва,Краснодар,5.0
239,Москва,Ухта,2.34
240,Набережные Челны,Нижний Новгород,1.0
241,Москва,Орск,0.5
242,Москва,Таганрог,0.5
243,Москва,Подольск,0.1
244,Москва,Владимир,1.0
245,Севастополь,Белгород,0.1
246,Москва,Долгопрудный,1.2
247,Ярославль,Карталы,0.1
248,Москва,Воронеж,1.0
249,Набережные Челны,Тюмень,1.0
250,Казань,Саров,0.9
251,Саратов,Череповец,3.2
252,Москва,Москва,2.0
253,Глазов,Пермь,2.0
254,Кострома,Воронеж,5.0
255,Санкт-Петербург,Ногинск,0.5
256,Московский,Липецк,0.1
257,Москва,Санкт-Петербург,12.0
258,Набережные Челны,Ставрополь,1.0
259,Москва,Алушта,0.5
260,Москва,Сочи,6.4
261,Тула,Нальчик,0.1
262,Казань,Москва,0.9
263,Волжский,Ивантеевка,22.0
264,Ростов-на-Дону,Элиста,1.0
265,Ломоносов,Санкт-Петербург,0.1
266,Мытищи,Бутово,3.0
267,Реутов,Мытищи,1.7
268,Москва,Чистополь,1.4
269,Лобня,Саранск,0.28
270,Москва,Екатеринбург,9.66
271,Набережные Челны,Москва,1.7
272,Иваново ,Белая Калитва,0.5
273,Сестрорецк,Россошь,1.0
274,Москва,Москва,0.5
275,Санкт-Петербург,Кемерово,4.5
276,Москва,Липецк,1.0
277,Ивантеевка,Санкт-Петербург,0.3
278,Москва,Десёновское,0.3
279,Казань,Кострома,0.9
280,Киров,Уфа,19.5
281,Москва,Казань,5.0
282,Дубна,Пермь,2.06
283,Краснодар,Челябинск,0.1
284,Мытищи,Москва,3.0
285,Подольск,Симферополь,7.0
286,Набережные Челны,Сургут,1.0
287,Санкт-Петербург,Химки,0.1
288,Москва,Благовещенск,0.8
289,Москва,Королев,0.1
290,Москва,Санкт-Петербург,0.5
291,Санкт-Петербург,Евпатория,0.5
292,Москва,Москва,0.5
293,Санкт-Петербург,Ярославль,0.5
294,Санкт-Петербург,Улан-Удэ,4.5
295,Москва,Губкинский,0.6
296,Москва,Санкт-Петербург,0.5
297,Новосибирск,Химки,0.1
298,Липецк,Москва,2.0
299,Набережные Челны,Южно-Сахалинск,1.8
300,Мытищи,Краснознаменск,3.0
301,Ставрополь,Саратов,0.1
302,Москва,Ростов-на-Дону,0.61
303,Чехов,Москва,0.5
304,Екатеринбург,Тюмень,0.264
305,Москва,Балашиха,1.0
306,Ставрополь,"Суханово, Ленинский гор.округ",3.22
307,Владикавказ,Мончегорск,2.0
308,Краснодар,Анапа,0.5
309,Москва,Нижний Новгород,0.7
310,Москва,Раменское,1.0
311,Москва,Санкт-Петербург,5.0
312,Москва,Челябинск,0.2
313,Липецк,Москва,2.0
314,Пушкино,Москва,0.3
315,Санкт-Петербург,Ельдигино,0.1
316,Реутов,Омск,1.66
317,Москва,Липецк,2.0
318,Реутов,Санкт-Петербург,1.74
319,Сестрорецк,Луга,1.0
320,Санкт-Петербург,Челябинск,0.2
321,Мытищи,Наро-Фоминск,3.0
322,Москва,Альметьевск,3.0
323,Москва,Кириши,0.1
324,Липецк,Бутово,2.0
325,Санкт-Петербург,Когалым,0.5
326,Москва,Санкт-Петербург,0.1
327,Ставрополь,Вологда,0.1
328,Томск,Мурманск,2.0
329,Москва,Селятино,0.5
330,Санкт-Петербург,Санкт-Петербург,0.1
331,Липецк,Мытищи,2.0
332,Москва,"Железногорск, Курск",1.0
333,Мытищи,Омск,3.0
334,Москва,Краснодар,0.5
335,Санкт-Петербург,Москва,0.6
336,Шатура,Екатеринбург,30.0
337,Калининград,Тамбов,20.0
338,Москва,Псков,1.8
339,Чебоксары,Новокубанск,1.2
340,Набережные Челны,"Никольск, Пензенская обл.",30.0
341,Москва,Выборг,0.5
342,Екатеринбург,Нижний Тагил,0.1
343,Москва,Пенза,5.0
344,Пушкино,Москва,0.3
345,Краснодар,Солнечногорск,0.5
346,Москва,Новосибирск,1.72
347,Мытищи,Мытищи,3.0
348,Тольятти,Минск,0.15
349,Петрозаводск,Челябинск,1.0
350,Москва,Геленджик,1.1
351,Долгопрудный,Санкт-Петербург,3.0
352,Липецк,Лысьва,10.0
353,Москва,Раменское,1.0
354,Санкт-Петербург,Тула,1.2
355,Чебоксары,Сургут,1.0
356,Коммунарка,Самара,2.0
357,Ставрополь,Домодедово,0.1
358,Тверь,Старый Оскол,0.68
359,Мытищи,Санкт-Петербург,3.0
360,Краснодар,Челябинск,1.48
361,Москва,Санкт-Петербург,8.0
362,Москва,Ижевск,0.1
363,Санкт-Петербург,Королев,1.0
364,Москва,Красноярск,5.0
365,Чебоксары,Салават,1.0
366,Москва,Ульяновск,0.5
367,Москва,Руза,5.32
368,Москва,Мытищи,0.65
369,Мытищи,Мытищи,3.0
370,Ростов-на-Дону,Череповец,3.0
371,Санкт-Петербург,Нововоронеж,0.5
372,Чебоксары,Саратов,1.5
373,Ставрополь,Москва,0.1
